B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
211,483,290,857,3285,4285,4360,1683,786,0
230,494,495,1042,1789,2120,2542,2165,1255,0
394,777,894,1369,2224,2515,3311,2486,1457,0
423,592,607,1083,1760,2003,2346,1095,584,0
437,667,602,1052,1856,2133,2379,1799,1066,0
0,330,382,872,1903,2160,2623,1893,1067,0
109,474,563,1098,1961,2235,2563,1933,1256,0
0,155,133,389,834,985,1094,416,275,2
4548,4678,4955,5404,5661,5735,5985,5325,4377,1
8311,8432,8665,8758,8580,8045,7675,227,214,3
5230,5004,5206,5479,5376,4980,4672,183,174,3
3319,3681,3939,5469,5602,5205,4775,412,269,3
300,421,581,901,1202,1335,1530,1222,935,0
380,589,734,1118,1828,1918,1835,1733,1191,0
200,559,540,1199,2272,2433,2831,2419,1634,0
5876,5465,5517,6052,6182,5807,5904,5340,4691,1
364,640,572,1074,2875,3395,3455,1953,1172,0
292,571,419,929,3051,3685,3789,1681,852,0
209,475,306,823,3313,4263,4654,1754,819,0
346,535,423,865,2655,3582,4216,2169,1077,0
212,466,282,810,2816,3536,3792,1679,784,0
1394,1062,700,1623,3587,4374,4463,2492,1906,1
472,806,874,1463,3480,4079,4003,2131,1280,0
496,662,747,1304,2033,2356,2751,1923,1171,0
430,739,774,1301,2222,2457,2818,2186,1224,0
999,1326,1185,1706,3376,3801,4294,2569,1397,0
508,734,919,1201,2350,2687,2605,2245,1307,0
8983,8631,8385,8800,8626,8016,7837,6596,5643,1
2225,2196,2330,3177,4356,4663,4862,3401,2784,1
763,1059,1394,1684,2766,3255,3339,3202,1928,0
