B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
207,361,538,960,1677,1893,1994,1787,1190,0
5186,5090,4877,5181,5056,4827,4938,4240,3762,1
654,892,1237,1586,1892,1994,2310,2784,2151,0
709,877,1204,1529,1789,1925,2186,2670,2003,0
289,471,780,1015,1189,1272,1507,1674,1381,0
1883,1982,2253,2865,3034,3051,3173,3389,2886,0
71,205,371,561,654,619,673,794,533,0
961,1067,1232,1509,1557,1452,1517,585,508,0
470,479,636,881,909,962,915,810,590,0
227,254,484,647,710,697,731,752,523,2
163,279,429,600,646,684,708,805,550,0
250,331,506,664,742,769,780,831,640,0
8246,8111,8663,9720,9233,8446,7990,689,764,3
7282,6693,6964,7808,7621,7249,7305,3637,4062,1
2048,1942,2018,2362,2475,2372,2391,1788,1688,1
372,509,740,993,1095,1117,1129,1335,1066,0
570,791,1000,1175,1195,1207,1158,1051,694,0
928,1308,1557,1799,2168,2211,2333,2326,1890,0
668,991,1314,1564,1888,1955,1936,2081,1735,0
418,633,795,959,1187,1265,1274,1206,799,0
5661,5214,5224,5710,6133,6120,6406,5571,4997,1
802,1239,1350,1678,2174,2302,2386,2358,1683,0
879,1320,1337,1620,2606,2909,3066,2587,1741,0
375,634,550,899,2052,2403,2393,1423,704,0
305,571,394,750,2345,2882,3130,1546,716,0
297,583,375,790,2740,3574,3976,1775,848,0
348,591,300,727,3212,4269,4497,1762,757,0
274,497,337,746,2847,3779,4018,1535,714,0
308,548,339,815,3103,4120,4451,1684,755,0
300,545,286,802,3034,3966,4391,1665,742,0
320,577,289,817,3127,3936,4225,1660,712,0
310,545,304,785,2936,3802,4112,1684,700,0
300,563,297,825,2998,3788,4098,1682,690,0
334,591,319,824,2873,3608,3910,1616,668,0
328,656,356,951,2947,3560,3874,1680,733,0
439,807,481,1178,2874,3355,3699,1803,800,0
369,727,524,1148,2597,2918,3133,1674,823,0
