B1,B2,B3,B4,B5,B6,B7,B8,B9,Flag
607,875,1152,1467,1766,2027,2420,2617,1748,0
634,862,1099,1213,1332,1411,1567,2010,1771,0
7158,6092,4998,4985,5157,5072,5021,3511,3006,1
639,767,884,1087,1365,1578,1561,1542,1091,0
5925,5369,5148,5104,5117,5218,5309,4615,3945,1
2050,1859,2031,2383,2475,2446,2416,1501,1413,1
8039,7412,7241,7354,7209,7113,7293,5090,3449,1
550,707,778,981,1279,1395,1590,1354,906,0
2258,2191,2313,2644,3034,3107,3191,2517,2117,1
636,730,921,1255,1503,1504,1486,1321,1159,0
558,734,863,1279,1741,1767,1852,1763,1257,0
470,644,714,1102,1524,1563,1633,1556,1041,0
498,742,841,1290,1828,1932,2076,1802,1230,0
456,702,717,1166,1945,2061,2137,1765,1118,0
343,584,603,1064,2379,2715,3026,1989,1239,0
337,515,415,870,2677,3303,3604,1638,856,0
12000,11695,10639,11004,10155,9247,8895,5742,4096,1
234,421,290,727,2834,3843,4108,1434,693,0
167,308,174,566,2832,4155,4436,1343,633,0
6340,5682,5323,5670,6040,6002,6082,3497,2887,1
218,324,206,536,2692,4159,4441,1103,455,0
230,366,236,571,2761,4336,4689,1200,519,0
169,288,175,516,2505,4041,4509,1143,469,0
206,369,233,605,2632,3997,4411,1255,543,0
462,773,949,1532,2230,2490,2899,1799,1082,0
969,1063,1088,1402,2232,2649,2960,1767,1216,0
168,209,272,374,445,512,518,342,186,2
603,831,1298,1629,1882,2159,2639,2715,1739,0
890,957,1219,1484,1964,2262,2554,1765,1043,0
997,1293,1774,2033,2226,2412,2666,3192,2618,0
2026,2085,2167,2467,3142,3477,3763,3206,2414,1
2089,2019,2154,2424,2992,3282,3527,3130,2310,1
1036,1407,1874,2103,2258,2336,2611,3214,2698,0
997,1311,1774,2052,2251,2334,2546,3144,2611,0
1312,1546,1934,2271,2515,2689,3053,3998,3255,0
600,806,1106,1292,1375,1459,1610,1972,1692,0
